pair,qx,qy,model_improve,actual_improve
58,-3,-1,8.918141247704625e-06,-5.054374923929572e-06
441,-1,0,2.3364555090665817e-06,-5.074427463114262e-06
147,1,-1,2.5762710720300674e-07,-5.3461408242583275e-06
562,-1,0,7.3862174758687615e-06,-5.5386044550687075e-06
401,1,0,3.1596573535352945e-06,-5.693116690963507e-06
160,0,-1,8.03009606897831e-06,-5.8862497098743916e-06
486,-1,1,2.2328458726406097e-06,-6.025788024999201e-06
247,3,-1,9.51820402406156e-06,-6.082016625441611e-06
393,2,-1,3.2899333746172488e-06,-6.317815859802067e-06
378,5,0,4.9128575483337045e-06,-6.334390491247177e-06
210,0,2,1.3859185855835676e-05,-6.4688792917877436e-06
595,25,1,8.47523278935114e-06,-6.799392394896131e-06
456,-8,-1,2.1067680791020393e-05,-6.8825320340693e-06
566,-4,1,1.6722100554034114e-05,-7.7066506491974e-06
17,-3,-2,1.1442629329394549e-05,-7.890797860454768e-06
240,-11,-2,1.2340056855464354e-05,-8.820123184705153e-06
259,-2,2,4.728615749627352e-06,-8.917093509808183e-06
241,5,-5,1.4353190636029467e-06,-9.143092029262334e-06
299,-2,-1,3.8594589568674564e-07,-9.228591807186604e-06
475,-3,0,1.0433199349790812e-05,-9.245813998859376e-06
52,-2,2,6.328999006655067e-06,-9.622788638807833e-06
77,0,-2,6.744696293026209e-06,-9.787327144294977e-06
121,1,1,1.8957420252263546e-05,-9.9879689514637e-06
470,-21,-1,2.4968801881186664e-05,-1.1117175745312124e-05
542,-3,0,1.5127152437344193e-05,-1.1652475222945213e-05
442,-14,-1,2.7830770704895258e-05,-1.1970172636210918e-05
157,1,1,1.1986703611910343e-05,-1.2729200534522533e-05
335,0,1,1.460182829760015e-06,-1.2818767572753131e-05
167,1,1,3.819819539785385e-06,-1.2937583960592747e-05
404,2,-1,1.5979167073965073e-05,-1.3625132851302624e-05
349,3,2,3.059394657611847e-06,-1.4234508853405714e-05
306,3,-2,1.261071884073317e-05,-1.4879551599733531e-05
379,2,-2,6.331058102659881e-06,-1.5316691133193672e-05
473,2,1,3.9121892768889666e-05,-1.5687852283008397e-05
182,-1,1,1.03618367575109e-05,-1.5700759831815958e-05
250,0,-2,1.1025957064703107e-05,-1.5982092008925974e-05
514,-11,7,0.0001349235826637596,-1.604342833161354e-05
171,3,2,5.650683306157589e-06,-1.611141487956047e-05
410,1,0,4.544621333479881e-06,-1.644075382500887e-05
170,1,1,2.6194611564278603e-06,-1.6690115444362164e-05
352,-2,1,1.110549783334136e-05,-1.725603942759335e-05
48,-1,1,2.5853587430901825e-06,-1.8214239389635623e-05
257,1,1,1.2681703083217144e-06,-1.8959639419335872e-05
392,-1,1,1.4455108612310141e-06,-2.0521125406958163e-05
266,-9,-1,2.2322470613289624e-05,-2.1499836293514818e-05
